requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction,transition_role
90.0,7,235753.0,234155.0,1598.0,0.00677828065814645,141.0,39.0,0.00016542737526139647,49.0,0.00011876837198254105,142,78333.0,0.010621321792858693,78841.0,0.006481399271952411,78579.0,0.0032451418317871188,low (nearest p10)
90.0,28,235774.0,171352.0,64422.0,0.2732362346993307,587.0,338.0,0.0014335762212966654,222.0,0.001077302840856074,588,78654.0,0.4124265771607293,78852.0,0.2776467305838787,78268.0,0.12891603209485358,median (nearest p50)
90.0,5,236113.0,132260.0,103853.0,0.43984448124415004,904.0,331.0,0.0014018711379720726,595.0,0.0010461092781845981,905,78753.0,0.6593653575101901,78839.0,0.4485597229797435,78521.0,0.2109244660664026,high (nearest p90)
